R_squared,R,n_vectors
100,10.00000000,30
101,10.04987562,168
102,10.09950494,48
104,10.19803903,72
105,10.24695077,96
106,10.29563014,72
107,10.34408043,72
108,10.39230485,32
109,10.44030651,72
110,10.48808848,144
113,10.63014581,96
114,10.67707825,96
115,10.72380529,48
116,10.77032961,72
117,10.81665383,120
118,10.86278049,72
120,10.95445115,48
121,11.00000000,78
122,11.04536102,120
123,11.09053651,48
125,11.18033989,144
126,11.22497216,144
128,11.31370850,12
129,11.35781669,144
130,11.40175425,48
131,11.44552314,120
132,11.48912529,48
133,11.53256259,48
134,11.57583690,168
136,11.66190379,48
137,11.70469991,96
138,11.74734012,96
139,11.78982612,72
140,11.83215957,48
141,11.87434209,96
142,11.91637529,48
144,12.00000000,30
145,12.04159458,96
146,12.08304597,192
147,12.12435565,56
148,12.16552506,24
149,12.20655562,168
150,12.24744871,120
152,12.32882801,72
153,12.36931688,144
154,12.40967365,96
155,12.44989960,96
157,12.52996409,72
158,12.56980509,96
160,12.64911064,24
161,12.68857754,192
162,12.72792206,108
163,12.76714533,24
164,12.80624847,96
165,12.84523258,96
166,12.88409873,120
168,12.96148140,48
169,13.00000000,72
170,13.03840481,120
171,13.07669683,96
172,13.11487705,24
173,13.15294644,144
174,13.19090596,96
176,13.26649916,24
177,13.30413470,24
178,13.34166406,72
179,13.37908816,72
180,13.41640786,72
181,13.45362405,120
182,13.49073756,96
184,13.56465997,48
185,13.60147051,168
186,13.63818170,96
187,13.67479433,24
189,13.74772708,144
190,13.78404875,48
192,13.85640646,8
193,13.89244399,48
194,13.92838828,168
195,13.96424004,48
196,14.00000000,48
197,14.03566885,96
198,14.07124728,48
200,14.14213562,60
201,14.17744688,72
202,14.21267040,72
203,14.24780685,48
204,14.28285686,24
205,14.31782106,48
206,14.35270009,144
208,14.42220510,24
209,14.45683229,144
210,14.49137675,48
211,14.52583905,72
212,14.56021978,48
213,14.59451952,48
216,14.69693846,48
217,14.73091986,96
218,14.76482306,96
219,14.79864859,24
221,14.86606875,72
222,14.89966443,48
224,14.96662955,48
225,15.00000000,96
226,15.03329638,72
227,15.06651917,48
228,15.09966887,24
229,15.13274595,96
230,15.16575089,96
233,15.26433752,48
234,15.29705854,96
236,15.36229150,24
237,15.39480432,48
238,15.42724862,48
241,15.52417470,48
242,15.55634919,36
243,15.58845727,32
244,15.62049935,72
245,15.65247584,96
246,15.68438714,72
248,15.74801575,48
249,15.77973384,48
250,15.81138830,48
251,15.84297952,72
253,15.90597372,48
257,16.03121954,96
258,16.06237840,24
260,16.12451550,48
261,16.15549442,48
262,16.18641406,24
264,16.24807681,24
265,16.27882060,24
266,16.30950643,96
267,16.34013464,24
269,16.40121947,96
270,16.43167673,48
272,16.49242250,24
274,16.55294536,96
278,16.67333200,24
280,16.73320053,48
281,16.76305461,72
283,16.82260384,24
285,16.88194302,48
288,16.97056275,12
289,17.00000000,72
290,17.02938637,48
291,17.05872211,24
292,17.08800749,24
293,17.11724277,48
297,17.23368794,24
300,17.32050808,8
301,17.34935157,48
302,17.37814720,48
304,17.43559577,24
306,17.49285568,48
308,17.54992877,48
313,17.69180601,24
314,17.72004515,48
321,17.91647287,24
323,17.97220076,24
324,18.00000000,24
325,18.02775638,48
329,18.13835715,48
337,18.35755975,24
342,18.49324201,24
344,18.54723699,24
346,18.60107524,48
352,18.76166304,24
363,19.05255888,8
365,19.10497317,48
369,19.20937271,24
386,19.64688270,24
388,19.69771560,24
409,20.22374842,24
432,20.78460969,8
