E_over_Ec,time_tau_th_Te_500eV,time_tau_th_Te_2000eV,time_tau_th_Te_5000eV
2.00000000e+00,4.06342300e+07,3.07662321e+06,1.09753830e+05
2.16236150e+00,3.49583700e+07,2.36745379e+06,6.77228614e+04
2.33790363e+00,3.03716200e+07,1.83117835e+06,3.89710125e+04
2.52769641e+00,2.65984400e+07,1.42005851e+06,2.05783435e+04
2.73289670e+00,2.34488200e+07,1.10152794e+06,1.00351613e+04
2.95475531e+00,2.07874800e+07,8.52702265e+05,4.67224065e+03
3.19462456e+00,1.85154600e+07,6.57108873e+05,2.16128350e+03
3.45396658e+00,1.65587200e+07,5.02656819e+05,1.01951883e+03
3.73436218e+00,1.48607200e+07,3.80306684e+05,4.98877282e+02
4.03752051e+00,1.33775800e+07,2.83220450e+05,2.54325821e+02
4.36528946e+00,1.20746600e+07,2.06183836e+05,1.35007555e+02
4.71966693e+00,1.09242500e+07,1.45247801e+05,7.44154011e+01
5.10281304e+00,9.89886000e+06,9.75112736e+04,4.28487360e+01
5.51706324e+00,8.80083000e+06,6.10642228e+04,2.55321566e+01
5.96494257e+00,7.34244000e+06,3.48566924e+04,1.57484209e+01
6.44918109e+00,6.04582000e+06,1.79488214e+04,1.00567713e+01
6.97273046e+00,4.96855000e+06,8.52104068e+03,6.61636404e+00
7.53878195e+00,4.07451000e+06,3.90429789e+03,4.46240505e+00
8.15078593e+00,3.33217381e+06,1.79628025e+03,3.10098555e+00
8.81247286e+00,2.71566271e+06,8.50559145e+02,2.19821825e+00
9.52787602e+00,2.20368873e+06,4.17914482e+02,1.59759477e+00
1.03013562e+01,1.77871398e+06,2.15576249e+02,1.18445102e+00
1.11376280e+01,1.42622265e+06,1.15384909e+02,9.00334475e-01
1.20417890e+01,1.13416078e+06,6.44955222e+01,6.94668920e-01
1.30193505e+01,8.92546219e+05,3.73010209e+01,5.44054625e-01
1.40762711e+01,6.93048385e+05,2.24416778e+01,4.34687953e-01
1.52189934e+01,5.28738223e+05,1.39780924e+01,3.52540615e-01
1.64544827e+01,3.93858066e+05,8.96957306e+00,2.90228200e-01
1.77902699e+01,2.83725203e+05,5.95979775e+00,2.41320565e-01
1.92344974e+01,1.94712173e+05,4.03940342e+00,2.03681777e-01
2.07959684e+01,1.24468921e+05,2.82093583e+00,1.73635348e-01
2.24842007e+01,7.20554551e+04,2.01972370e+00,1.50255643e-01
2.43094850e+01,3.70818390e+04,1.47517457e+00,1.30670621e-01
2.62829473e+01,1.72382979e+04,1.10466200e+00,1.14777816e-01
2.84166167e+01,7.61534351e+03,8.39654820e-01,1.01829153e-01
3.07234989e+01,3.36405162e+03,6.51085319e-01,9.12476587e-02
3.32176557e+01,1.52760198e+03,5.12468469e-01,8.25862832e-02
3.59142899e+01,7.20985001e+02,4.11498420e-01,7.47442847e-02
3.88298389e+01,3.57210164e+02,3.35402810e-01,6.86694567e-02
4.19820744e+01,1.85487297e+02,2.76113810e-01,6.30862975e-02
4.53902107e+01,1.00095525e+02,2.30733922e-01,5.85392200e-02
4.90750221e+01,5.64549194e+01,1.95721530e-01,5.45912704e-02
5.30589693e+01,3.29596003e+01,1.66846675e-01,5.11640128e-02
5.73663363e+01,2.00220469e+01,1.44378910e-01,4.81916535e-02
6.20233785e+01,1.25306665e+01,1.26189098e-01,4.56189770e-02
6.70584830e+01,8.12045439e+00,1.11396923e-01,4.31826675e-02
7.25023410e+01,5.42209357e+00,9.93251317e-02,4.12874379e-02
7.83881355e+01,3.71166182e+00,8.90028641e-02,3.96729598e-02
8.47517432e+01,2.60490713e+00,8.01509802e-02,3.81208935e-02
9.16319534e+01,1.87432376e+00,7.32704072e-02,3.68129562e-02
9.90707042e+01,1.37579461e+00,6.69782040e-02,3.55492977e-02
1.07113338e+02,1.03020426e+00,6.18412529e-02,3.45009731e-02
1.15808880e+02,7.86968615e-01,5.73834795e-02,3.36513122e-02
1.25210331e+02,6.13280275e-01,5.35130972e-02,3.29870409e-02
1.35375000e+02,4.87563269e-01,5.01532001e-02,3.21737765e-02
1.46364844e+02,3.91491296e-01,4.74766608e-02,3.16963218e-02
1.58246852e+02,3.19088881e-01,4.49419018e-02,3.12255757e-02
1.71093451e+02,2.63998726e-01,4.27553057e-02,3.07614683e-02
1.84982946e+02,2.21714756e-01,4.08786396e-02,3.04562023e-02
2.00000000e+02,1.88067994e-01,3.90835778e-02,3.01536525e-02
