epsilon, gamma_A_over_gamma_A_cyl
0.00000000e+00,1.00000000e+00
2.51256281e-03,1.00000000e+00
5.02512563e-03,1.00000000e+00
7.53768844e-03,1.00000000e+00
1.00502513e-02,1.00000000e+00
1.25628141e-02,1.00000000e+00
1.50753769e-02,1.00000000e+00
1.75879397e-02,1.00000000e+00
2.01005025e-02,1.00000000e+00
2.26130653e-02,1.00000000e+00
2.51256281e-02,1.00000000e+00
2.76381910e-02,1.00000000e+00
3.01507538e-02,1.00000000e+00
3.26633166e-02,1.00000000e+00
3.51758794e-02,1.00000000e+00
3.76884422e-02,1.00000000e+00
4.02010050e-02,1.00000000e+00
4.27135678e-02,1.00000000e+00
4.52261307e-02,1.00000000e+00
4.77386935e-02,9.91719332e-01
5.02512563e-02,9.80263030e-01
5.27638191e-02,9.67175589e-01
5.52763819e-02,9.53193620e-01
5.77889447e-02,9.38744027e-01
6.03015075e-02,9.24093735e-01
6.28140704e-02,9.09416880e-01
6.53266332e-02,8.94829661e-01
6.78391960e-02,8.80410338e-01
7.03517588e-02,8.66211485e-01
7.28643216e-02,8.52267884e-01
7.53768844e-02,8.38601784e-01
7.78894472e-02,8.25226505e-01
8.04020101e-02,8.12148955e-01
8.29145729e-02,7.99371429e-01
8.54271357e-02,7.86892894e-01
8.79396985e-02,7.74709937e-01
9.04522613e-02,7.62817457e-01
9.29648241e-02,7.51209173e-01
9.54773869e-02,7.39878013e-01
9.79899497e-02,7.28816388e-01
1.00502513e-01,7.18016413e-01
1.03015075e-01,7.07470057e-01
1.05527638e-01,6.97169268e-01
1.08040201e-01,6.87106054e-01
1.10552764e-01,6.77272546e-01
1.13065327e-01,6.67661049e-01
1.15577889e-01,6.58264068e-01
1.18090452e-01,6.49074332e-01
1.20603015e-01,6.40084807e-01
1.23115578e-01,6.31288708e-01
1.25628141e-01,6.22679493e-01
1.28140704e-01,6.14250872e-01
1.30653266e-01,6.05996799e-01
1.33165829e-01,5.97911469e-01
1.35678392e-01,5.89989313e-01
1.38190955e-01,5.82224988e-01
1.40703518e-01,5.74613372e-01
1.43216080e-01,5.67149555e-01
1.45728643e-01,5.59828830e-01
1.48241206e-01,5.52646689e-01
1.50753769e-01,5.45598807e-01
1.53266332e-01,5.38681042e-01
1.55778894e-01,5.31889421e-01
1.58291457e-01,5.25220136e-01
1.60804020e-01,5.18669535e-01
1.63316583e-01,5.12234114e-01
1.65829146e-01,5.05910514e-01
1.68341709e-01,4.99695507e-01
1.70854271e-01,4.93585997e-01
1.73366834e-01,4.87579012e-01
1.75879397e-01,4.81671694e-01
1.78391960e-01,4.75861299e-01
1.80904523e-01,4.70145190e-01
1.83417085e-01,4.64520830e-01
1.85929648e-01,4.58985780e-01
1.88442211e-01,4.53537693e-01
1.90954774e-01,4.48174310e-01
1.93467337e-01,4.42893455e-01
1.95979899e-01,4.37693035e-01
1.98492462e-01,4.32571031e-01
2.01005025e-01,4.27525499e-01
2.03517588e-01,4.22554563e-01
2.06030151e-01,4.17656415e-01
2.08542714e-01,4.12829310e-01
2.11055276e-01,4.08071564e-01
2.13567839e-01,4.03381553e-01
2.16080402e-01,3.98757707e-01
2.18592965e-01,3.94198509e-01
2.21105528e-01,3.89702495e-01
2.23618090e-01,3.85268249e-01
2.26130653e-01,3.80894400e-01
2.28643216e-01,3.76579625e-01
2.31155779e-01,3.72322642e-01
2.33668342e-01,3.68122212e-01
2.36180905e-01,3.63977134e-01
2.38693467e-01,3.59886244e-01
2.41206030e-01,3.55848418e-01
2.43718593e-01,3.51862565e-01
2.46231156e-01,3.47927625e-01
2.48743719e-01,3.44042576e-01
2.51256281e-01,3.40206422e-01
2.53768844e-01,3.36418199e-01
2.56281407e-01,3.32676971e-01
2.58793970e-01,3.28981831e-01
2.61306533e-01,3.25331897e-01
2.63819095e-01,3.21726313e-01
2.66331658e-01,3.18164248e-01
2.68844221e-01,3.14644894e-01
2.71356784e-01,3.11167466e-01
2.73869347e-01,3.07731202e-01
2.76381910e-01,3.04335360e-01
2.78894472e-01,3.00979218e-01
2.81407035e-01,2.97662075e-01
2.83919598e-01,2.94383249e-01
2.86432161e-01,2.91142076e-01
2.88944724e-01,2.87937909e-01
2.91457286e-01,2.84770119e-01
2.93969849e-01,2.81638093e-01
2.96482412e-01,2.78541234e-01
2.98994975e-01,2.75478961e-01
3.01507538e-01,2.72450707e-01
3.04020101e-01,2.69455921e-01
3.06532663e-01,2.66494063e-01
3.09045226e-01,2.63564610e-01
3.11557789e-01,2.60667049e-01
3.14070352e-01,2.57800881e-01
3.16582915e-01,2.54965620e-01
3.19095477e-01,2.52160790e-01
3.21608040e-01,2.49385927e-01
3.24120603e-01,2.46640580e-01
3.26633166e-01,2.43924306e-01
3.29145729e-01,2.41236674e-01
3.31658291e-01,2.38577262e-01
3.34170854e-01,2.35945658e-01
3.36683417e-01,2.33341462e-01
3.39195980e-01,2.30764279e-01
3.41708543e-01,2.28213726e-01
3.44221106e-01,2.25689427e-01
3.46733668e-01,2.23191015e-01
3.49246231e-01,2.20718132e-01
3.51758794e-01,2.18270427e-01
3.54271357e-01,2.15847555e-01
3.56783920e-01,2.13449182e-01
3.59296482e-01,2.11074979e-01
3.61809045e-01,2.08724624e-01
3.64321608e-01,2.06397803e-01
3.66834171e-01,2.04094208e-01
3.69346734e-01,2.01813537e-01
3.71859296e-01,1.99555494e-01
3.74371859e-01,1.97319791e-01
3.76884422e-01,1.95106144e-01
3.79396985e-01,1.92914276e-01
3.81909548e-01,1.90743916e-01
3.84422111e-01,1.88594795e-01
3.86934673e-01,1.86466655e-01
3.89447236e-01,1.84359238e-01
3.91959799e-01,1.82272294e-01
3.94472362e-01,1.80205577e-01
3.96984925e-01,1.78158846e-01
3.99497487e-01,1.76131864e-01
4.02010050e-01,1.74124400e-01
4.04522613e-01,1.72136226e-01
4.07035176e-01,1.70167119e-01
4.09547739e-01,1.68216859e-01
4.12060302e-01,1.66285233e-01
4.14572864e-01,1.64372029e-01
4.17085427e-01,1.62477040e-01
4.19597990e-01,1.60600064e-01
4.22110553e-01,1.58740900e-01
4.24623116e-01,1.56899352e-01
4.27135678e-01,1.55075230e-01
4.29648241e-01,1.53268342e-01
4.32160804e-01,1.51478505e-01
4.34673367e-01,1.49705536e-01
4.37185930e-01,1.47949255e-01
4.39698492e-01,1.46209487e-01
4.42211055e-01,1.44486059e-01
4.44723618e-01,1.42778802e-01
4.47236181e-01,1.41087547e-01
4.49748744e-01,1.39412132e-01
4.52261307e-01,1.37752394e-01
4.54773869e-01,1.36108175e-01
4.57286432e-01,1.34479320e-01
4.59798995e-01,1.32865674e-01
4.62311558e-01,1.31267087e-01
4.64824121e-01,1.29683410e-01
4.67336683e-01,1.28114498e-01
4.69849246e-01,1.26560207e-01
4.72361809e-01,1.25020396e-01
4.74874372e-01,1.23494926e-01
4.77386935e-01,1.21983659e-01
4.79899497e-01,1.20486462e-01
4.82412060e-01,1.19003201e-01
4.84924623e-01,1.17533747e-01
4.87437186e-01,1.16077971e-01
4.89949749e-01,1.14635746e-01
4.92462312e-01,1.13206949e-01
4.94974874e-01,1.11791456e-01
4.97487437e-01,1.10389147e-01
5.00000000e-01,1.08999903e-01
